rank,gloss,train_token_count,train_sample_count,dev_token_count,test_token_count,all_token_count,cumulative_train_token_coverage
1,我,5180,4540,276,310,5766,0.03873939901580986
2,他,3243,2923,201,206,3650,0.06299265596721361
3,你,2693,2380,170,185,3048,0.08313265626635954
4,这,2535,2374,152,166,2853,0.1020910301090387
5,人,2331,2065,147,167,2645,0.11952375966615313
6,多,1781,1636,97,105,1983,0.13284323257100977
7,不,1759,1632,113,127,1999,0.1459981752097761
8,要,1406,1309,79,78,1563,0.15651315494263876
9,有,1375,1283,106,107,1588,0.16679629657328326
10,是,1367,1297,106,115,1588,0.17701960901625857
11,1,1336,1204,86,86,1508,0.18701108335701572
12,好,1320,1196,100,107,1527,0.19688289932243444
13,我们,1196,1163,80,85,1361,0.2058273628789805
14,没有,1194,1138,54,61,1309,0.21475686913860928
15,看,1111,992,69,78,1258,0.22306564757617003
16,去,1103,1057,55,53,1211,0.2313145968260616
17,想,1070,997,48,45,1163,0.23931675067681768
18,房子,1022,978,52,61,1135,0.24695992940155856
19,什么,960,907,79,85,1124,0.25413943192186306
20,不行,939,885,49,54,1042,0.26116188282453595
21,自己,926,858,64,68,1058,0.2680871112972464
22,工作,925,855,38,40,1003,0.27500486112149813
23,可以,908,869,59,63,1030,0.2817954739219528
24,吃,903,709,55,52,1010,0.28854869348011425
25,今天,844,830,48,52,944,0.29486067277921535
26,说,809,755,39,36,884,0.3009108993822636
27,时间,752,716,43,46,841,0.30653484302316886
28,钱,661,596,40,38,739,0.31147822965433686
29,做,650,630,45,51,746,0.3163393511524597
30,买,613,561,29,35,677,0.3209237626576125
31,小,606,580,34,42,682,0.32545582362355474
32,会,591,561,47,57,695,0.32987570486261725
33,全部,588,573,39,38,665,0.33427315015630377
34,在,584,578,39,43,666,0.3386406808561557
35,到,572,537,38,45,655,0.3429184677745038
36,妈妈,563,545,23,26,612,0.3471289468567241
37,老师,549,546,35,35,619,0.3512347248605232
38,爸爸,500,492,14,18,532,0.3549740490898485
39,对,491,483,33,47,571,0.3586460654830459
40,喜欢,485,467,30,38,553,0.3622732099854914
41,事情,463,457,24,28,515,0.36573582422184664
42,给,435,423,30,33,498,0.3689890363013596
43,好了,429,421,26,28,483,0.3721973764901207
44,学,425,392,28,27,480,0.37537580208504717
45,2,414,400,29,37,480,0.3784719625469285
46,年,402,311,27,23,452,0.38147837922730604
47,但是,392,392,16,17,425,0.38441000942309705
48,病,389,334,13,15,417,0.38731920367351214
49,快,374,354,23,19,416,0.39011621819704745
50,喝,362,331,18,22,402,0.3928234889390789
51,他们,356,345,25,23,404,0.39548588779035854
52,还,355,347,38,43,436,0.39814080799317947
53,来,348,345,18,24,390,0.40074337765678986
54,东西,343,330,30,30,403,0.403308554078107
55,不好,338,316,11,16,365,0.40583633725713086
56,朋友,335,323,23,24,382,0.40834168449077884
57,一直,331,322,14,18,363,0.41081711713059216
58,为,330,324,9,12,351,0.41328507112194685
59,大,328,325,35,36,399,0.4157380678163842
60,找,325,301,17,20,362,0.4181686285654457
61,明天,308,305,13,14,335,0.42047205229071
62,多少,308,296,20,18,346,0.42277547601597437
63,孩子,305,294,21,22,348,0.4250564637958628
64,书,305,272,16,23,344,0.4273374515757512
65,晚上,299,294,20,18,337,0.42957356746488773
66,身体,298,283,18,28,344,0.43180220470556563
67,帮助,295,280,16,15,326,0.43400840600086754
68,走,295,261,15,18,328,0.43621460729616945
69,美丽,288,277,20,18,326,0.4383684580522608
70,学校,282,279,17,24,323,0.4404774369176003
71,新,273,252,18,16,307,0.4425191079468119
72,写,265,229,27,30,322,0.44450094978835425
73,早,263,249,16,14,293,0.4464678343329793
74,不喜欢,260,249,9,7,276,0.4484122829322285
75,手机,260,235,14,19,293,0.45035673153147765
76,感觉,259,256,16,19,294,0.4522937014822681
77,带,254,242,10,19,283,0.4541932781907654
78,生活,251,245,15,21,287,0.45607041895388667
79,天,250,237,18,18,286,0.4579400810685493
80,努力,248,226,18,23,289,0.45979478588629463
81,最,245,237,29,23,297,0.461627054758664
82,和,244,235,12,15,271,0.46345184498257475
83,中国,239,231,15,18,272,0.46523924196419225
84,睡觉,238,223,2,5,245,0.4670191602973511
85,旅游,236,233,8,9,253,0.4687841213335926
86,难,236,227,15,14,265,0.4705490823698341
87,每天,235,226,9,13,257,0.472306564757617
88,不是,235,225,16,21,272,0.4740640471453999
89,电影,234,228,6,8,248,0.4758140508847241
90,方法,234,226,21,18,273,0.47756405462404833
91,每,234,225,20,18,272,0.4793140583633726
92,各种,231,211,18,15,264,0.4810416261573208
93,考试,230,227,8,10,248,0.4827617153028105
94,医生,230,217,10,10,250,0.4844818044483001
95,心,229,223,16,23,268,0.48619441494533105
96,公司,228,228,21,23,272,0.4878995467939034
97,让,228,219,15,17,260,0.48960467864247575
98,增加,222,178,11,13,246,0.49126493860029613
99,必须,221,218,20,20,261,0.49291771990965794
100,后,218,218,12,13,243,0.49454806527364376
101,因为,218,218,14,13,245,0.4961784106376296
102,像,218,213,11,10,239,0.4978087560016154
103,用,218,197,16,19,253,0.4994391013656012
104,路,214,214,5,5,224,0.5010395321357525
105,女,213,213,16,19,248,0.502632484257445
106,拿,209,204,20,20,249,0.5041955217853029
107,那,209,200,11,13,233,0.5057585593131609
108,变,204,168,21,27,252,0.5072842035987256
109,大家,202,196,6,7,215,0.508794890587373
110,成功,200,197,22,33,255,0.5102906202791032
111,一起,199,194,2,1,202,0.5117788713223747
112,错误,197,192,8,6,211,0.5132521650687287
113,你们,194,189,9,8,211,0.514703022869707
114,组,194,182,11,11,216,0.5161538806706852
115,准备,193,181,5,9,207,0.5175972598232047
116,学生,192,192,15,18,225,0.5190331603272657
117,前,189,189,12,14,215,0.5204466248859506
118,一样,189,183,6,9,204,0.5218600894446356
119,简单,188,178,12,13,213,0.5232660753548619
120,情况,185,185,8,5,198,0.5246496253197123
121,请,184,184,9,9,202,0.5260256966361039
122,点,183,168,11,10,204,0.527394289304037
123,如果,182,179,9,13,204,0.5287554033235113
124,驾驶,181,173,9,6,196,0.5301090386945271
125,火车,181,168,4,4,189,0.5314626740655429
126,同学,180,177,13,15,208,0.5328088307880999
127,道理,178,173,5,7,190,0.5341400302137398
128,别,177,170,10,14,201,0.5354637509909209
129,真,177,168,5,4,186,0.536787471768102
130,外,176,172,3,5,184,0.5381037138968245
131,读书,176,167,5,6,187,0.539419956025547
132,运动,169,163,7,11,187,0.540683847615059
133,重要,169,162,8,7,184,0.541947739204571
134,车,169,151,4,2,175,0.5432116307940829
135,听,168,163,8,14,190,0.5444680437351361
136,跳舞,168,147,4,8,180,0.5457244566761895
137,知道,167,167,19,15,201,0.5469733909687842
138,玩,166,141,4,7,177,0.5482148466129201
139,上海,165,165,8,9,182,0.5494488236085975
140,等,164,145,3,5,172,0.5506753219558161
141,教,163,144,14,13,190,0.5518943416545762
142,害怕,160,133,9,14,183,0.5530909254079602
143,3,155,140,5,5,165,0.5542501159190512
144,开始,154,154,10,16,180,0.5554018277816833
145,大学,154,152,4,5,163,0.5565535396443155
146,下雨,154,148,5,6,165,0.5577052515069477
147,坏,154,148,10,7,171,0.5588569633695798
148,大概,153,150,7,11,171,0.5600011965837534
149,方便,153,150,8,15,176,0.5611454297979269
150,改变,153,123,10,11,174,0.5622896630121005
151,员工,152,149,14,15,181,0.5634264175778153
152,衣服,152,149,14,16,182,0.5645631721435302
153,菜,152,144,8,14,174,0.5656999267092451
154,水,152,132,6,9,167,0.56683668127496
155,电脑,151,149,10,12,173,0.5679659571922162
156,课,151,140,6,8,165,0.5690952331094724
157,接受,147,140,6,8,161,0.5701945944328941
158,不会,146,140,3,3,152,0.5712864771078571
159,联系,146,137,5,7,158,0.57237835978282
160,应该,145,145,13,21,179,0.5734627638093244
161,超市,145,145,17,15,177,0.5745471678358287
162,骄傲,145,133,7,8,160,0.575631571862333
163,男,144,141,8,9,161,0.5767084972403788
164,票,144,138,5,4,153,0.5777854226184244
165,上,143,143,10,10,163,0.5788548693480114
166,决定,143,134,2,4,149,0.5799243160775984
167,签名,143,131,7,10,160,0.5809937628071855
168,医院,142,134,13,7,162,0.5820557308883139
169,北京,140,138,6,6,152,0.583102741672525
170,领导,140,137,4,7,151,0.5841497524567361
171,检查,140,122,10,12,162,0.585196763240947
172,影响,139,127,3,3,145,0.5862362953766995
173,聪明,137,134,10,7,154,0.5872608702155346
174,技术,135,132,15,13,163,0.5882704877574525
175,亲属,134,134,7,9,150,0.5892726266509116
176,失败,134,113,16,14,164,0.5902747655443709
177,里,133,133,14,14,161,0.5912694257893714
178,信,133,130,7,8,148,0.5922640860343719
179,感冒,133,125,13,10,156,0.5932587462793724
180,外国,132,129,14,11,157,0.5942459278759142
181,要求,132,120,6,6,144,0.5952331094724561
182,下,131,131,7,9,147,0.5962128124205394
183,注意,130,124,7,7,144,0.597185036720164
184,热,130,122,6,10,146,0.5981572610197885
185,老,129,126,5,3,137,0.5991220066709544
186,少,129,120,7,7,143,0.6000867523221204
187,一般,129,118,3,4,136,0.6010514979732863
188,送,128,123,1,2,131,0.6020087649759935
189,高,128,122,20,18,166,0.6029660319787008
190,发生,128,113,9,8,145,0.6039232989814081
191,经常,127,127,7,8,142,0.6048730873356567
192,刚才,127,125,5,4,136,0.6058228756899053
193,担心,127,112,3,3,133,0.606772664044154
194,发现,126,126,13,11,150,0.6077149737499439
195,比,126,121,5,4,135,0.6086572834557339
196,得,126,120,8,6,140,0.6095995931615239
197,炒,125,107,4,5,134,0.6105344242188552
198,分,125,93,1,2,128,0.6114692552761865
199,问题,124,121,9,8,141,0.6123966076850591
200,叫,123,123,7,4,134,0.6133164814454731
201,比赛,122,122,2,3,127,0.6142288765574285
202,以前,121,117,7,7,135,0.6151337930209253
203,酒,121,113,4,6,131,0.616038709484422
204,年龄,120,120,8,9,137,0.61693614729946
205,脸,120,117,10,8,138,0.6178335851144982
206,飞机,120,116,7,6,133,0.6187310229295362
207,安静,119,119,4,5,128,0.6196209820961156
208,发展,119,116,15,13,147,0.620510941262695
209,地铁,119,113,7,8,134,0.6214009004292744
210,结婚,119,113,2,4,125,0.6222908595958538
211,银行,119,107,6,4,129,0.6231808187624333
212,怎么,118,118,7,8,133,0.624063299280554
213,世界,118,115,1,2,121,0.6249457797986748
214,研究,118,109,3,6,127,0.6258282603167955
215,问,118,98,12,9,139,0.6267107408349163
216,地方,117,117,5,7,129,0.6275857427045785
217,远,117,117,8,11,136,0.6284607445742405
218,高兴,117,114,5,10,132,0.6293357464439027
219,站,117,111,6,5,128,0.6302107483135648
220,姐姐,117,109,6,4,127,0.6310857501832269
221,美国,115,115,3,6,124,0.6319457947559717
222,记得,115,112,5,4,124,0.6328058393287165
223,慢,115,73,10,11,136,0.6336658839014613
224,十,114,111,1,1,116,0.6345184498257475
225,手语,114,111,6,6,126,0.6353710157500336
226,天气,113,113,7,9,129,0.6362161030258612
227,日期,111,111,3,6,120,0.6370462330047714
228,中,110,110,8,12,130,0.6378688843352229
229,老板,110,107,10,15,135,0.6386915356656745
230,5,110,104,8,8,126,0.639514186996126
231,崇拜,110,104,3,3,116,0.6403368383265776
232,药,110,103,9,13,132,0.6411594896570292
233,社会,109,107,3,3,115,0.6419746623390221
234,丢,109,100,5,7,121,0.642789835021015
235,白天,108,108,3,3,114,0.6435975290545493
236,发送,108,94,5,7,120,0.6444052230880836
237,人们,107,107,4,8,119,0.6452054384731591
238,尊重,107,98,6,9,122,0.6460056538582347
239,饭店,106,106,6,8,120,0.6467983905948517
240,认识,106,98,4,5,115,0.6475911273314686
241,选择,106,95,12,12,130,0.6483838640680856
242,星期,106,78,3,2,111,0.6491766008047025
243,把,105,105,4,5,114,0.6499618588928608
244,处理,105,102,4,5,114,0.6507471169810192
245,红,104,104,5,6,115,0.6515248964207189
246,护照,104,101,1,1,106,0.6523026758604185
247,忘记,104,95,8,8,120,0.6530804553001182
248,股票,104,83,1,2,107,0.6538582347398179
249,负责,103,99,2,4,109,0.6546285355310588
250,工资,103,97,7,6,116,0.6553988363222998
251,开,102,102,3,5,110,0.6561616584650822
252,哥哥,100,100,5,8,113,0.6569095233109472
253,结果,100,100,6,5,111,0.6576573881568123
254,包,99,99,2,4,105,0.6583977743542188
255,安全,99,99,3,6,108,0.6591381605516251
256,放,99,96,7,10,116,0.6598785467490316
257,王,99,96,15,16,130,0.6606189329464379
258,坐,99,83,7,8,114,0.6613593191438443
259,缺少,99,76,8,10,117,0.6620997053412507
260,保护,98,98,3,3,104,0.6628326128901985
261,昨天,98,98,4,5,107,0.6635655204391462
262,谁,98,93,8,11,117,0.664298427988094
263,互相,98,74,9,16,123,0.6650313355370417
264,不懂,97,97,3,3,103,0.6657567644375308
265,们,97,97,12,13,122,0.66648219333802
266,女儿,97,97,4,8,109,0.667207622238509
267,第一,97,97,9,8,114,0.6679330511389981
268,进,97,94,7,8,112,0.6686584800394872
269,长,97,88,8,8,113,0.6693839089399763
270,纸,97,86,7,7,111,0.6701093378404654
271,经验,96,96,11,13,120,0.6708272880924959
272,贵,96,96,5,4,105,0.6715452383445264
